Category, Case name, experiment, Correct,Remark
mixed, multiple_issues_in_one_element_motor_operating_temperature, description_to_id_short_1, yes, "correctly assesses that there is no mismatch and suggests to keep the property as is"
mixed, multiple_issues_in_one_element_motor_operating_temperature, description_to_id_short_2, yes, "not tasked - mismatch in property value type vs property description"
mixed, multiple_issues_in_one_element_motor_operating_temperature, description_to_id_short_3, yes, "not tasked - mismatch in concept description description vs concept description unit"
mixed, multiple_issues_in_one_element_motor_operating_temperature, description_to_id_short_4, yes, "not tasked - typo in display name"
mixed, multiple_issues_in_one_element_motor_operating_temperature, description_to_id_short_5, yes, "not tasked - typo in concept description id"
mixed, multiple_issued_in_one_element_operating_pressure, concept_description_to_description_1, yes,
mixed, multiple_issued_in_one_element_operating_pressure, concept_description_to_description_2, yes, "not tasked - mismatch in concept description description vs concept description unit vs concept description definition"
mixed, multiple_issued_in_one_element_operating_pressure, concept_description_to_description_3, yes, "not tasked - mismatch in property value type vs property description"
mixed, multiple_issued_in_one_element_operating_pressure, concept_description_to_unit, yes,
mixed, multiple_issued_in_one_element_operating_pressure, concept_description_to_value_type, yes,
mixed, multiple_issued_in_one_element_operating_pressure, description_to_display_name, yes, "no mismatch deteched, no change suggested"
mixed, multiple_issued_in_one_element_operating_pressure, description_to_id_short_1, yes, "not tasked - mismatch in property description vs property value type"
mixed, multiple_issued_in_one_element_operating_pressure, description_to_id_short_2, yes, "not tasked - mismatch in concept description description/definition vs concept description unit"
mixed, multiple_issued_in_one_element_operating_pressure, description_to_id_short_3, yes, "not tasked - mismatch in property id short vs concept description description"
mixed, multiple_issued_in_one_element_waterproof_casing_length, concept_description_to_description_1, yes,
mixed, multiple_issued_in_one_element_waterproof_casing_length, concept_description_to_description_2, yes, "not tasked - mismatch in property value type vs property description"
mixed, multiple_issued_in_one_element_waterproof_casing_length, concept_description_to_description_3, yes, "not tasked - mismatch in concept description unit SI-prefix and concept description description"
mixed, multiple_issued_in_one_element_waterproof_casing_length, concept_description_to_description_4, yes, "not tasked - typo in property display name"
mixed, multiple_issued_in_one_element_waterproof_casing_length, concept_description_to_unit, yes,
mixed, multiple_issued_in_one_element_waterproof_casing_length, concept_description_to_value_type, yes,
mixed, multiple_issued_in_one_element_waterproof_casing_length, description_to_display_name, yes, "correctly identified the contraction; additionally identified typo"
mixed, multiple_issued_in_one_element_waterproof_casing_length, description_to_id_short_1, yes,
mixed, multiple_issued_in_one_element_waterproof_casing_length, description_to_id_short_2, yes, 
mixed, multiple_issued_in_one_element_waterproof_casing_length, description_to_id_short_3, yes, "not tasked - mismatch in property value type vs property description"
mixed, multiple_issued_in_one_element_waterproof_casing_length, description_to_id_short_4, yes, "not tasked - mismatch in concept description unit SI-prefix and concept description description"
mixed, multiple_issued_in_one_element_waterproof_casing_length, description_to_id_short_5, yes, "not tasked - typo in display name"
